0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
8,8244,2239,2237,2255,12244,14248,13247,11246,17250,18255,13255,9255,15240,11243,8255,8255
8,178255,2239,255,255,16255,13247,11255,9245,13240,15240,9255,255,12255,14255,5255,13255
8,255,255,178255,178255,7255,17255,9250,255,5255,13255,12255,8255,7255,9255,7255,9255
8,255,255,255,8242,255,2255,1255,255,13255,14255,10248,177244,8230,9255,6255,11255
8,255,255,255,38255,255,255,255,255,10249,13255,6239,9255,10248,13255,5255,5233
8,13250,15255,16234,255,255,1243,11255,14250,13248,15245,2255,4255,6255,8255,9255,9255
8,6255,255,255,3255,6255,5237,8243,8255,8243,13235,11228,5219,255,2255,2255,5255
8,3255,6238,255,177232,8235,10237,5237,8243,13236,17255,5255,255,5237,11255,2255,3233
8,2227,2255,255,3255,2255,17255,2240,5242,16255,15245,8255,2225,15235,10255,255,16246
8,13245,10242,5255,8234,18239,18255,16255,14229,16255,17255,17246,12244,15240,17247,13234,13255
9,150020,139033,107091,115047,119255,129232,159238,176034,116032,112067,110055,110056,112076,110061,109063,116051
9,138035,125023,109136,150255,120255,116255,136094,145024,110052,105052,109069,116060,111068,111065,111057,111075
9,124023,135031,110071,160128,117158,137091,140037,170031,115059,111049,108041,111050,109056,111052,115052,114010
9,133026,125026,114243,122255,125255,115234,133223,161031,111053,111052,111064,107064,109064,109060,122054,124061
9,112052,116052,115073,111091,109057,115036,120034,122037,112077,111055,109078,112074,114066,111073,114082,117062
9,116058,120040,120051,115064,112062,125044,116062,126034,113065,112074,112068,110091,112084,111070,112091,120033
9,122051,110066,118056,116064,110053,114060,115059,123034,111065,118044,112073,112079,110067,114081,111080,118058
9,122044,115076,113075,112089,120040,118043,120037,116055,111062,111071,114075,111070,112082,111058,114081,112073
9,133238,150050,109162,128062,116142,119243,5230,158234,112061,109058,112075,119069,112070,114079,114086,117050
9,125242,120045,125070,113070,112075,123088,124213,5174,113052,116058,111064,111074,111064,117064,112097,116052
9,141141,120044,116058,111086,114086,120230,122255,124227,123055,112067,111073,115073,109075,114089,112088,115054
9,116060,118040,122054,118092,110145,112198,104235,115174,116051,112060,115053,116057,112078,143036,111078,128035
9,114083,133027,116053,111073,109044,116035,116041,120038,115050,122040,111059,112064,110057,113051,107062,112046
9,120040,8028,112128,114059,111061,123028,116039,125040,111053,111050,111059,110051,113050,110064,111066,111056
9,116043,118041,120030,111058,112035,113041,113038,124022,109059,116046,110042,111054,111050,111053,114073,115052
