0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
5,2004117,0,0,0,0,0,0,0,0,0,0,0,1000101,2001103,1001112,1100,104,1000080,1087,1001113,3001091,1001091,85,86
6,1000020,1028,1021,34,1029,1000020,40,1000042,4000075,1069,58,1001015,1000062,1000068,1001069,1069,60,1000062,60,1063,1000065,64,1001057,60
6,1047,24,34,1001019,16,1001019,2001035,2001021,2001069,1001064,1001052,1024,1000066,3000080,2000076,2001067,60,1000064,60,64,1002086,64,1001063,60
6,17,1028,34,1022,1000020,29,1000020,1000019,21,1047,60,1052,1062,1000066,1000072,1000072,1000064,60,1000064,64,1059,1001085,64,64
6,77,64,60,1000055,34,1000020,70,1001018,2001068,1000080,3000076,2001065,2001069,2090,1000080,70,64,76,70,1000067,1000072,70,2001069,1082
6,2000066,1059,1059,34,36,34,2000042,1070,26,1081,1000080,74,85,1000081,2001081,64,1062,64,1000072,1001071,71,3000072,1013083,90
6,1001065,77,71,2000069,64,1000070,1000072,17,17,23,24,2001065,1091,86,118,1000096,3001077,1078,1000066,1074,1088,78,3003084,64
6,1001071,5130,64,59,24,1002116,2000031,46,36,1000027,1000033,2000070,1000094,107,1098,2001075,1000074,1069,70,2001075,71,2000070,1000066,2000076
6,1039,15016098,2000069,1000061,29,3001067,57,45,1001057,1043,40,2001034,102,2001110,1000103,1082,107,76,4001073,85,2000076,76,2001081,70
6,33,1062,16020153,2000035,1000050,2001045,7004103,1000105,1000104,1000098,78,34,90,1001108,94,94,70,90,3000078,90,1001077,1000072,84,1001091
6,24,1000070,1001042,1057,1000068,2001040,1000019,2000026,1000020,1000020,4004123,24,1000065,90,1001085,90,1000072,1000074,2001070,1000074,64,1000068,2001063,1000066
6,3001059,1000051,1000058,58,32,1000020,1032,17,1000020,60,24,1000020,2001065,2000090,97,1001084,60,1000062,1000062,2000070,64,1000064,60,1000052
6,1000036,2000023,36,73,34,2001069,102,2000064,2000065,36,1000020,1001025,88,1001085,88,80,102,2001087,1000074,84,2001087,2001079,1082,64
6,1000036,37,1000050,1000032,24,1000020,4001076,2000022,3000026,2000043,1001019,1000020,1000074,1096,85,87,1000070,1001079,1000068,1000080,1000086,76,1000073,1001065
6,25,1000061,1059,53,46,1000051,54,64,1062,2000076,1000056,2000043,1000050,1000057,1000056,1000058,48,1001049,60,1059,2000076,64,54,3001047
6,17,1001055,3000055,45,47,2001045,0,1000062,1000068,1000067,1001049,1000042,2000053,54,2000054,54,46,48,1000062,63,1060,2000053,47,3000049
6,1039,60,1000057,40,1001050,2000046,1001049,77,1090,1000063,1052,54,44,2000059,2000055,2000052,2001045,1051,1001049,61,55,54,1000044,1000044
6,1000050,1000050,2001045,1001049,1000042,1000054,73,33,1000057,1000039,1000062,1001047,1001049,1000050,50,48,1001049,1000050,1052,2000060,1001055,46,1001049,41
6,50,53,54,61,1000123,1052,1059,1000070,54,1000056,3000049,4001051,1000050,60,1058,60,1000043,1000050,1000050,59,1001065,2000061,47,1052
6,1000046,1051,1000050,45,55,2000111,0,1001079,2000072,1000062,2000060,44,1001061,2001066,64,2000059,54,1000050,1000056,60,1063,1000064,1052,55
6,1001049,1000050,54,1000050,1000042,1059,2000065,2001068,100,61,1000056,1000056,1000062,64,64,60,48,1000057,58,1062,1000066,60,1061,1001049
6,1000050,1000050,60,1001060,3010206,0,0,0,56,1062,54,1000050,1000051,2001051,60,1052,1000044,48,48,1000056,1052,1001049,1000044,2001045
6,1000049,1000056,54,0,1000051,0,0,0,1059,0,1000051,1000050,1000050,1049,54,1000044,47,1001050,1049,2000060,1001049,1000050,46,48
6,2001052,1000061,44,0,59,0,0,0,54,0,56,1000042,55,1000056,2000054,1052,2001045,1000044,1000044,1001049,54,1000044,1001049,1000044
6,2000071,58,54,1000057,2000053,1052,0,1000066,1000062,2002105,55,45,1000050,1002069,1000059,1000058,1052,48,45,1000064,1051,1001054,1000061,54
6,1058,1000062,60,2001068,60,1000062,79,60,57,1000055,1021,53,1063,1001068,1001074,60,1052,1000056,65,60,1062,3000055,1001065,50
6,2001066,1000066,64,0,1059,0,0,0,2000069,0,64,1000061,1059,1000058,1000066,1000056,60,58,1000056,63,1000068,2000068,1052,4000059
